"CANASTA TRADICIONAL","","",""
"PRODUCTO","MARCA","PRECIO SUPERMERCADO TOTTUS","CANTIDAD DEL PRODUCTO"
"Arroz blanco","Tottus","$1,550.00","1 kg"
"Pan corriente (Hallulla)","Tottus","$2,090","1 kg"
"Espirales (fideos)","Carozzi","$1,050","400 gr"
"Harina de trigo","Mont Blanc","$1,300","1 kg"
"Avena","Tottus","$1,940","700 gr"
"Asiento","La Gran Estancia","$9,990","/kg"
"Carne Molida (10%)","Tottus","$2,990","250 gr"
"Chuleta de cerdo (Centro)","Super Cerdo","$1,490","140 gr"
"Costillar de cerdo","Tottus","$9,990","1 kg"
"Pulpa de cerdo","Super Cerdo","$6,590","900 gr"
"Pechuga de pollo (entera)","Super Pollo","$6,290","1 kg"
"Pollo entero","Ariztía","$3,990","1,5-2,5 kg (peso variable)"
"Truto de pollo","Ariztía","$3,290","800 gr"
"Carne de pavo molida","Ariztía","$2,990","400 gr"
"Longaniza","La Preferida","$4,690","4 unidades"
"Merluza","Mar Verde","$4,290","500 gr"
"Choritos frescos","San José","$2,490","454 gr"
"Jurel en conserva","San José","$1,380","160 gr"
"Surtido en conserva","Robinson Crusoe","$3,490","425 gr"
"Salchicha de ave","Montina","$4,490","20 unidades"
"Salchicha tradicional","Montina","$3,990","20 unidades"
"Jamón de cerdo","La Crianza","$1,990","120 gr"
"Paté","PF","$720","125 gr"
"Leche entera","Soprole","$1,290","1 lt"
"Leche en polvo entera","Tottus","$5,390","800 gr"
"Yogurt","Colun","$350","120 gr"
"Queso gauda","Soprole","$2,590","250 gr"
"Queso fresco","Colun","$2,690","450 gr"
"Queso crema","Colun","$1,750","200 gr"
"Huevos","Tottus","$3,990","12 unidades"
"Mantequilla con sal","Colun","$2,790","250 gr"
"Margarina","Soprole","$1,480","250 gr"
"Aceite vegetal","Tottus","$1,690","900 ml"
"Platano","Tottus","$1,490","/kg"
"Manzana (Roja Fuji)","Tottus","$1,890","1 kg"
"Porotos (blancos)","Tottus","$3,090","1 kg"
"Lentejas","Tottus","$2,990","1 kg"
"Lechuga","Tottus","$1,290","1 unidad"
"Zapallo","Tottus","$1,990","700 gr"
"Limón ","Tottus","$1,590","1 kg"
"Palta","Tottus","$2,950","700 gr"
"Tomate","Tottus","$1,950","1 kg"
"Zanahoria","Tottus","$1,190","1 kg"
"Cebolla","Tottus","$1,550","1 kg"
"Choclo congelado","Minuto Verde","$1,790","500 gr"
"Papa","Tottus","$950","1 kg"
"Azúcar blanca","Iansa","$1,450","1 kg"
"Chocolate ","Trencito","$3,250","150 gr"
"Salsa de tomate","Malloa","$860","200 gr"
"Helado familiar un sabor (vainilla)","Savory","$3,490","1 lt"
"Café","Nescafé","$4,990","100 gr"
"Té","Supremo","$2,750","100 gr (50 unidades)"
"Bebida gaseosa","Coca Cola","$1,990","1,5 lt"
"Jugo liquido","Guallarauco","$5,590","1,75 lt"
"Néctar líquido","Del Valle","$1,690","1,5 lt"
"Galleta dulce (Vino)","McKay","$930","155 gr"
"Caramelo","Ambrosoli","$1,590","160 gr"
"Galleta salada (Crackelet)","Costa","$540","85 gr"
"Papas fritas","Lay's","$1,650","200 gr"
"Agua mineral","Cachantun","$1,090","1,6 lt"
"Refresco en polvo","Vivo","$270","8 gr"
"Bebida energizante","Redbull","$1,650","290 ml"
"Refresco isotónico","Powerade","$1,090","600 ml"
"Torta de 15 a 20 personas","Tottus","$8,990","15 porciones"
"Prepizza familiar","Tottus","$4,490","600 gr"
"PRECIO TOTAL:","","$180,140",""
"CANASTA VEGANA","","",""
"PRODUCTO","MARCA","PRECIO SUPERMERCADO TOTTUS ","CANTIDAD DEL PRODUCTO"
"Arroz blanco","Tottus","$1,550.00","1 kg"
"Pan vegano","Castaño","$2,490","8 unidades"
"Harina integral","Selecta","$1,690","1 kg"
"Avena","Tottus","$1,940","700 gr"
"Fideos (sin huevo)","Lucchetti","$1,150","400 gr"
"Carne molida vegana","-","-","-"
"Proteína de soya ","Mi Tierra","$2,750","300 gr"
"Nuggets veganos","La Crianza","$3,190","400 gr"
"Hamburguesa vegana","La Crianza","$1,150","100 gr"
"Croqueta vegana","La Receta del Abuelo","$1,290","120 gr"
"Pollo vegano","-","-","-"
"Longaniza vegana","-","-","-"
"Pescado vegano","-","-","-"
"Salchichas veganas","Riku","$2,990","250 gr (5 unidades)"
"Porotos negros","Tottus","$2,490","1 kg"
"Porotos blancos","Tottus","$3,090","1 kg"
"Garbanzos","Tottus","$3,590","1 kg"
"Palmitos","Tottus","$2,150","400 gr"
"Arvejas","Tottus","$1,650","500 gr"
"Tofu","-","-","-"
"Almendras","Tottus","$4,300","200 gr"
"Maní","Evercrisp","$2,790","380 gr"
"Leche vegetal","Vilay","$2,000","1 lt"
"Yogurt vegano","Nestlé","$560","115 gr"
"Queso vegano","Quillayes","$3,950","200 gr"
"Queso crema vegano","-","-","-"
"Sustituto de huevo (linaza molida)","Mi Tierra","$2,150","400 gr"
"Mantequilla vegana","-","-","-"
"Margarina vegetal","-","-","-"
"Aceite vegetal","Tottus","$1,690","900 ml"
"Platano","Tottus","$1,490","/kg"
"Manzana","Tottus","$1,890","1 kg"
"Lentejas","Tottus","$2,990","1 kg"
"Lechuga","Tottus","$1,290","1 unidad"
"Zapallo","Tottus","$1,990","700 gr"
"Limón ","Tottus","$1,590","1 kg"
"Palta","Tottus","$2,950","700 gr"
"Tomate","Tottus","$1,950","1 kg"
"Zanahoria","Tottus","$1,190","1 kg"
"Cebolla","Tottus","$1,550","1 kg"
"Choclo congelado","Minuto Verde","$1,790","500 gr"
"Papa","Tottus","$950","1 kg"
"Azúcar","Iansa","$1,450","1 kg"
"Chocolate vegano","Manare","$5,090","100 gr"
"Salsa de tomate","Carozzi","$950","200 gr"
"Helado vegano","NOTCO","$4,790","298 ml"
"Café","Nescafé","$4,990","100 gr"
"Té","Supremo","$2,750","100 gr"
"Bebida gaseosa (apta vegana)","Coca Cola","$1,990","1,5 lt"
"Jugo liquido","Guallarauco","$5,590","1,75 lt"
"Néctar líquido","Del Valle","$1,690","1,5 lt"
"Galleta dulce vegana","Oreo","$830","108 gr"
"Caramelo vegano","Merello","$3,350","250 gr"
"Galleta salada vegana","Sanissimo","$2,190","108 gr"
"Papas fritas","Lay's","$1,650","200 gr"
"Agua mineral","Cachantun","$1,090","1,6 lt"
"Refresco en polvo","Vivo","$270","8 gr"
"Bebida energizante","Redbull","$1,650","290 ml"
"Refresco isotónico","Powerade","$1,090","600 ml"
"Torta vegana de 15 a 20 personas","-","-","-"
"Prepizza vegana familiar","-","-","-"
"PRECIO TOTAL:","","$113,630",""
